city,country,2017,2018,2019,2020,2021,2022,2023
Passau,Germany,15.1,14.9,12.6,11.4,11.6,11.4,11.6
Pforzheim,Germany,10.4,11.0,9.7,8.4,9.0,9.7,9.5
Potsdam,Germany,14.9,14.8,11.5,9.7,10.9,10.4,10.3
Reutlingen,Germany,14.5,12.7,11.9,8.5,9.0,10.0,9.9
Rostock,Germany,13.0,14.4,11.8,9.6,10.1,10.1,10.0
Salzgitter,Germany,10.9,12.3,9.8,7.5,8.5,8.8,8.7
Schwedt/Oder,Germany,13.3,16.0,10.6,9.9,10.8,10.4,10.2
Schwerin,Germany,12.1,12.5,11.9,9.1,12.0,10.2,10.1
Schwerte,Germany,12.3,13.1,8.7,8.4,9.4,11.2,10.9
Spremberg,Germany,15.6,16.8,12.1,10.6,12.1,10.7,10.6
Stuttgart,Germany,13.6,12.8,11.7,11.0,10.1,11.1,11.1
Tiefenbach,Germany,8.0,10.0,7.7,6.9,5.9,6.4,6.3
Trier,Germany,12.5,12.8,10.9,10.1,10.2,10.8,10.7
Trostberg,Germany,12.0,12.8,10.3,9.7,9.4,8.9,9.0
Tubingen,Germany,11.1,11.1,10.9,9.3,9.6,10.6,10.5
Ulm,Germany,12.0,12.1,10.6,9.4,10.4,10.8,10.7
Warstein,Germany,11.6,13.3,8.2,9.2,12.5,11.6,11.4
Weil am Rhein,Germany,10.4,10.6,9.9,8.7,9.5,9.5,9.5
Weimar,Germany,12.4,13.7,9.6,9.1,10.4,9.3,9.3
Wittenberge,Germany,13.6,13.7,10.5,8.8,9.5,8.7,8.6
Worms,Germany,13.7,13.1,11.9,10.9,11.3,11.9,11.8
Wuppertal,Germany,12.9,13.9,11.5,9.4,9.9,11.8,11.7
Wurzburg,Germany,11.5,11.9,9.9,9.8,10.5,10.8,10.8
Hong Kong,Hong Kong SAR,21.8,20.2,20.3,15.4,15.9,14.4,14.4
Hafnarfjoerdur,Iceland,5.9,4.3,4.3,4.3,4.4,3.8,3.7
Kopavogur,Iceland,5.7,5.8,6.9,6.9,4.9,3.7,3.7
Agra,India,110.6,104.8,57.2,80.2,73.4,38.2,40.2
Bengaluru,India,32.1,34.5,32.6,27.5,29.0,31.5,31.6
Chandrapur,India,44.8,41.4,35.1,32.2,47.5,35.1,36.4
Chennai,India,39.8,43.2,34.6,26.5,25.2,25.3,25.3
Delhi (NCT),India,108.2,113.5,98.6,84.1,96.4,92.6,92.7
Faridabad,India,123.0,129.1,85.0,83.3,88.9,79.7,82.1
Gaya,India,102.6,96.6,59.4,46.3,46.6,74.3,73.6
Ghaziabad,India,144.6,135.2,110.2,106.6,102.0,88.6,88.7
Gurugram,India,145.6,135.8,93.1,75.3,83.4,70.0,70.0
Hyderabad,India,51.0,44.2,39.0,34.7,39.4,42.4,42.5
Jaipur,India,88.3,67.6,50.5,43.8,56.6,54.2,54.6
Jind,India,126.5,91.6,85.4,81.6,84.1,77.9,79.0
Jodhpur,India,81.9,113.4,77.2,67.1,67.8,63.0,64.8
Kanpur,India,119.2,88.2,48.5,89.1,83.2,66.2,66.4
Kolkata,India,76.7,85.4,59.8,46.6,59.0,50.2,50.3
Lucknow,India,119.2,115.7,90.3,86.2,86.0,64.7,65.0
Mumbai,India,54.2,58.6,45.3,41.3,46.4,46.7,46.8
Muzaffarpur,India,107.4,110.3,81.2,74.3,82.9,79.2,82.9
Nagpur,India,56.2,46.6,47.2,27.1,35.2,46.8,44.8
Nashik,India,47.2,39.8,39.3,32.8,40.7,34.3,34.6
Noida,India,134.0,123.6,97.7,94.3,91.4,78.7,80.4
Panchkula,India,52.8,56.2,45.9,42.8,48.3,59.3,58.2
Patna,India,118.5,119.7,82.1,68.4,78.2,88.9,89.2
Pune,India,37.0,46.3,35.7,39.7,42.2,51.1,51.2
Rohtak,India,96.7,81.6,59.7,74.4,86.9,74.7,69.5
Solapur,India,37.7,38.9,36.9,30.6,32.6,39.3,40.8
Tirupati,India,34.5,31.3,26.4,24.4,28.8,31.9,32.4
Visakhapatnam,India,50.4,52.8,44.0,40.3,44.3,44.7,45.7
Jakarta,Indonesia,29.7,45.3,49.4,39.6,39.2,36.2,36.2
Tehran,Iran,34.0,26.1,25.9,29.0,31.7,36.1,36.2
Dublin,Ireland,8.0,9.5,10.6,8.6,7.8,7.1,7.1
Acre,Israel,21.0,17.2,19.6,18.4,19.1,19.0,19.0
Arad,Israel,17.4,19.9,19.1,16.5,18.1,21.0,21.6
Ashdod,Israel,18.9,19.6,20.6,15.8,16.5,16.3,16.6
Ashkelon,Israel,19.2,20.8,18.8,15.6,17.4,16.6,17.0
Ein Tamar,Israel,26.7,28.4,15.2,14.1,19.0,16.4,16.5
Ein Ya'akov,Israel,20.1,20.1,20.1,17.7,17.4,19.3,19.2
Haifa,Israel,16.3,16.7,18.0,16.2,16.3,16.5,17.0
Holon,Israel,19.7,21.4,22.1,15.9,23.7,21.4,21.5
Jerusalem,Israel,17.1,18.9,20.9,17.2,17.9,16.9,16.9
Kiryat Ata,Israel,19.8,21.1,19.7,15.5,17.2,18.3,18.4
Kiryat Malakhi,Israel,18.2,18.9,19.8,15.9,16.0,16.9,17.4
Kiryat Tiv'on,Israel,17.8,18.0,18.4,15.1,16.0,18.1,18.3
Nesher,Israel,13.8,12.4,16.8,13.6,14.4,15.7,16.3
Nir Yisrael,Israel,15.0,17.5,18.8,16.1,17.8,17.4,17.6
Pardes Hanna-Karkur,Israel,21.9,26.8,20.6,21.5,17.6,20.7,21.3
Ra'anana,Israel,19.5,18.8,21.3,17.7,19.1,18.8,19.1
Ramat Gan,Israel,21.0,19.3,22.6,18.8,20.2,20.5,20.5
Rishon LeTsiyon,Israel,20.7,19.9,22.9,17.3,19.3,20.7,20.8
Sde Yoav,Israel,17.7,16.6,19.4,16.0,18.3,15.7,15.9
Sderot,Israel,16.7,19.6,20.1,17.5,17.5,17.1,17.7
Tel Aviv-Yafo,Israel,18.3,19.5,21.8,17.2,20.7,19.5,19.6
Bergamo,Italy,26.4,18.0,18.5,17.8,17.6,17.6,17.5
Brescia,Italy,26.4,20.8,18.9,16.5,19.2,19.3,19.3
Ceglie Messapica,Italy,15.7,16.2,30.7,31.7,36.6,10.6,10.6
Milano,Italy,27.8,22.1,23.3,28.4,22.9,28.6,28.7
Modena,Italy,22.1,25.2,23.4,24.3,23.2,24.8,24.8
Torchiarolo,Italy,19.9,17.2,13.8,12.6,12.3,10.8,10.8
Torino,Italy,12.9,12.1,8.5,7.1,7.2,7.0,7.0
Abiko,Japan,13.1,13.2,13.1,12.1,12.3,9.5,9.6
Abira,Japan,8.4,9.1,9.2,7.1,7.6,8.0,7.5
Aikawa,Japan,9.6,10.3,9.2,8.4,8.9,8.9,8.9
Aioi,Japan,11.6,11.4,10.7,9.3,8.8,9.2,9.2
Akashi,Japan,13.0,13.1,11.8,9.8,9.3,9.9,9.9
Aki,Japan,10.8,10.0,9.2,9.3,7.6,8.4,8.3
Akita,Japan,10.9,11.5,12.2,9.6,8.1,7.6,7.6
Ako,Japan,10.7,10.5,10.1,8.0,8.7,9.4,9.3
Amagasaki,Japan,12.8,12.7,12.4,10.6,9.9,9.9,9.9
Amakusa,Japan,14.1,13.3,13.5,12.4,10.4,10.8,10.8
Aomori,Japan,10.5,10.2,11.6,10.3,8.3,7.9,8.0
Arao,Japan,15.4,15.2,14.0,12.0,12.5,11.5,11.5
Arida,Japan,12.2,11.8,11.2,9.9,9.3,9.2,9.2
Asahikawa,Japan,10.2,9.2,9.0,7.6,7.2,7.0,7.0
Asakuchi,Japan,17.0,18.0,16.1,15.5,14.0,14.4,14.4
Asakura,Japan,13.5,13.3,12.6,11.7,11.0,10.9,10.9
Ashikaga,Japan,12.3,12.3,11.1,9.8,9.1,9.3,9.1
Ashiya,Japan,11.2,11.2,11.2,10.0,9.2,9.0,9.0
Aso,Japan,11.6,10.6,11.5,10.5,8.8,9.8,9.8
Atsugi,Japan,8.6,8.9,8.3,7.3,8.3,9.3,9.3
Ayabe,Japan,10.9,11.2,10.9,8.7,8.9,8.9,8.8
Beppu,Japan,12.0,10.3,10.0,9.2,8.5,9.1,9.1
Bizen,Japan,13.5,13.7,13.4,10.8,10.2,11.5,11.5
Bungoono,Japan,11.4,10.0,9.5,9.3,8.3,8.8,8.8
Buzen,Japan,14.6,14.5,11.5,10.8,9.8,10.0,10.0
Chiba,Japan,10.7,11.0,10.4,9.1,8.7,9.1,9.1
Chichibu,Japan,12.9,14.4,14.2,9.7,8.8,8.7,8.7
Chigasaki,Japan,13.6,13.8,12.8,10.4,11.0,11.0,11.0
Chikusei,Japan,12.3,12.7,12.2,10.8,10.1,10.9,10.9
Chofu,Japan,10.7,11.8,11.0,9.3,7.8,7.8,7.8
Daito,Japan,13.3,14.2,13.4,7.7,7.9,9.3,9.3
Dazaifu,Japan,15.8,15.3,14.3,12.0,11.2,12.0,12.0
Ebina,Japan,7.0,7.5,6.7,6.7,8.3,8.4,8.4
Fuchu,Japan,12.7,13.6,12.2,10.7,7.7,7.6,7.6
Fujisawa,Japan,10.2,11.2,10.1,9.1,8.4,8.2,8.2
Fukaya,Japan,12.7,13.5,11.9,10.8,9.8,8.7,8.8
Fukuchiyama,Japan,10.6,10.4,9.8,8.5,8.1,8.0,8.0
Fukuoka,Japan,13.9,12.8,13.1,11.4,10.0,10.3,10.4
Fukushima,Japan,9.9,10.6,10.2,7.7,7.5,7.6,7.7
Fukuyama,Japan,15.4,14.2,12.9,11.4,11.1,11.1,11.1
Funabashi,Japan,12.0,12.5,12.3,11.2,8.8,8.9,8.9
Fussa,Japan,10.7,11.2,10.7,10.0,8.2,7.9,7.8
Futtsu,Japan,9.2,10.1,9.9,8.7,8.3,8.4,8.4
Gamagori,Japan,10.7,11.5,10.6,8.9,8.2,7.9,7.9
Gifu,Japan,11.5,12.2,11.4,9.4,9.1,9.8,9.7
Gose,Japan,12.5,12.4,11.4,10.7,9.4,9.3,9.3
Goshogawara,Japan,9.5,10.5,11.6,8.0,8.0,7.3,7.3
Goto,Japan,12.5,12.2,12.6,11.6,10.1,8.8,8.8
Hachinohe,Japan,10.4,10.5,11.4,9.7,8.0,7.8,7.8
Hachioji,Japan,11.8,11.6,10.4,8.9,7.8,8.1,8.1
Hadano,Japan,7.9,8.6,7.7,7.0,8.1,8.2,8.2
Hagi,Japan,11.1,10.8,12.1,10.8,11.0,8.9,8.9
Hakodate,Japan,8.3,8.7,8.8,6.7,6.7,6.5,6.5
Hakui,Japan,8.8,9.0,9.0,8.3,7.9,6.9,6.7
Hakusan,Japan,10.8,11.1,9.0,7.3,7.0,7.6,7.4
Hanamaki,Japan,11.2,9.2,8.8,7.7,9.6,7.5,7.5
Handa,Japan,14.4,15.7,15.3,12.9,12.8,12.7,12.6
Hannan,Japan,11.2,11.1,10.6,9.2,8.7,8.7,8.7
Harima,Japan,13.0,12.7,12.4,11.5,9.8,11.1,11.0
Hashimoto,Japan,13.1,11.9,11.2,10.1,9.0,9.8,9.7
Hayashima,Japan,16.9,15.9,14.8,14.1,12.7,13.6,13.6
Hidaka,Japan,11.6,12.9,12.4,9.9,8.8,8.9,8.9
Higashiagatsuma,Japan,10.2,10.8,9.7,9.5,8.8,8.9,8.9
Higashihiroshima,Japan,13.8,13.0,12.8,11.3,10.3,10.4,10.4
Higashikurume,Japan,12.6,12.9,11.5,9.3,8.9,9.4,9.4
Higashimurayama,Japan,13.3,13.5,12.1,10.6,8.7,8.5,8.5
Higashiomi,Japan,13.0,13.5,13.0,9.8,9.3,9.6,9.6
Higashiyamato,Japan,12.5,11.0,11.1,9.1,8.2,8.8,8.8
Hiji,Japan,12.4,11.0,10.2,9.3,8.2,8.7,8.6
Hikone,Japan,11.4,12.2,11.2,9.7,9.4,9.5,9.5
Himeji,Japan,13.2,12.6,11.8,11.2,9.8,9.1,9.0
Himi,Japan,10.3,10.2,8.3,8.7,9.5,8.6,8.6
Hino,Japan,12.0,12.5,11.2,8.9,8.3,8.5,8.5
Hirakata,Japan,12.6,12.5,12.3,7.9,8.2,9.2,9.2
Hiratsuka,Japan,13.1,11.7,10.5,8.7,8.0,8.3,8.3
Hiroshima,Japan,13.5,12.5,11.9,10.3,9.9,9.8,9.8
Hitachi,Japan,9.3,10.5,9.5,8.6,6.3,6.7,6.7
Hitachinaka,Japan,8.9,9.4,9.3,8.3,7.5,7.6,7.6
Hitachiomiya,Japan,8.7,9.7,9.2,8.3,7.9,8.4,8.3
Hofu,Japan,13.0,12.3,12.4,12.1,13.3,11.8,11.8
Honjo,Japan,12.1,12.3,10.7,9.6,9.0,8.8,8.8
Hyuga,Japan,13.5,11.6,11.4,13.2,9.4,10.3,10.3
Ibaraki,Japan,12.5,12.3,13.4,8.1,8.6,8.9,8.9
Ichihara,Japan,11.6,11.5,10.9,9.6,8.5,7.8,7.8
Ichikawa,Japan,12.0,12.6,10.0,9.3,8.6,8.6,8.6
Ichikikushikino,Japan,14.5,14.2,13.8,13.2,9.4,9.7,9.7
Ichinomiya,Japan,12.4,12.4,11.7,6.9,7.75,7.949999999999999,7.949999999999999
Ichinoseki,Japan,9.6,9.0,8.7,7.1,7.7,7.1,7.1
Ide,Japan,11.0,11.2,10.6,9.4,8.6,8.5,8.5
Iga,Japan,12.6,13.3,12.0,9.9,8.6,9.0,9.0
Iizuka,Japan,13.3,13.5,12.6,11.8,10.9,11.9,11.9
Ikeda,Japan,12.55,12.5,12.55,8.95,8.45,9.15,9.1
Iki,Japan,13.5,14.2,12.6,11.6,10.1,7.7,7.7
Ikoma,Japan,12.3,11.7,11.1,10.5,9.3,9.3,9.3
Imabari,Japan,14.6,14.7,14.9,13.0,11.3,11.1,11.1
Imari,Japan,15.3,13.9,17.6,14.1,11.9,12.0,12.0
Imizu,Japan,9.4,9.5,8.9,7.8,7.6,7.8,7.8
Ina,Japan,8.6,8.5,8.4,7.3,7.2,7.6,7.6
Inabe,Japan,12.8,10.1,9.8,7.8,7.7,8.1,8.1
Inami,Japan,13.6,12.5,12.7,10.8,9.6,10.6,10.6
Inazawa,Japan,11.5,12.7,11.5,9.7,9.6,9.0,9.0
Inuyama,Japan,10.8,12.0,11.1,8.7,7.6,7.7,7.7
Inzai,Japan,8.4,8.5,9.4,8.6,7.9,8.5,8.5
Iruma,Japan,12.0,12.8,12.3,10.8,9.9,8.6,8.6
Isahaya,Japan,14.6,9.4,14.5,12.6,11.1,9.4,9.4
Ise,Japan,13.4,9.9,9.3,8.5,7.8,8.0,8.0
Itami,Japan,11.1,11.3,11.7,10.2,10.0,9.9,9.7
Iwaki,Japan,8.6,9.1,9.1,7.3,7.5,7.6,7.6
Iwakuni,Japan,13.8,13.6,11.5,9.5,9.4,9.5,9.5
Izumi,Japan,12.6,13.6,13.45,11.2,8.6,9.15,9.1
Izumiotsu,Japan,13.0,12.5,12.1,8.0,7.7,9.4,9.4
Izumisano,Japan,11.4,11.6,10.8,7.2,7.8,8.4,8.3
Joso,Japan,12.6,12.7,12.5,10.2,10.0,9.4,9.2
Joyo,Japan,12.8,12.5,11.7,10.3,9.8,9.8,9.8
Kaga,Japan,8.2,9.2,9.0,7.8,7.4,7.8,7.5
Kagoshima,Japan,14.7,14.0,13.6,12.7,9.9,9.8,9.8
Kainan,Japan,10.5,10.2,9.6,8.9,8.0,7.7,7.7
Kaizuka,Japan,14.3,17.3,14.8,9.5,8.5,8.8,8.7
Kakamigahara,Japan,9.3,10.1,9.5,8.3,7.8,7.4,7.3
Kakogawa,Japan,14.7,14.2,13.5,11.3,10.5,10.4,10.5
Kamagaya,Japan,12.5,12.6,11.7,10.6,9.6,9.2,9.2
Kamaishi,Japan,10.8,8.9,8.4,7.1,6.9,7.0,6.8
Kamakura,Japan,9.8,11.3,10.2,8.4,8.4,8.4,8.4
Kameoka,Japan,12.3,11.9,12.0,10.1,9.2,8.6,8.6
Kamiamakusa,Japan,11.6,11.6,11.5,10.2,8.8,9.1,9.1
Kamisu,Japan,12.1,9.0,8.8,8.1,7.4,7.25,7.2
Kamiyama,Japan,10.5,10.7,9.7,9.6,8.7,9.0,8.9
Kanazawa,Japan,8.5,8.4,8.3,7.3,7.5,6.9,6.8
Kanda,Japan,14.9,14.3,13.5,13.3,10.5,11.5,11.4
Kanonji,Japan,17.3,18.3,15.1,11.7,11.0,11.8,11.7
Kanoya,Japan,15.9,15.5,14.3,14.0,12.1,13.8,13.8
Karatsu,Japan,13.4,12.9,13.9,10.9,9.1,9.5,9.5
Kariya,Japan,11.8,12.3,11.0,9.0,7.6,7.4,7.3
Kasama,Japan,10.6,9.0,8.0,7.3,6.7,7.5,7.4
Kasaoka,Japan,17.0,17.1,15.7,14.4,14.1,14.6,14.7
Kashihara,Japan,11.5,12.1,12.0,11.1,10.4,10.8,10.8
Kashima,Japan,14.8,13.4,13.3,10.25,9.85,8.95,8.95
Kashiwa,Japan,12.2,12.5,11.3,9.6,9.1,8.7,8.6
Kashiwara,Japan,13.5,13.5,12.8,7.3,7.2,8.3,8.3
Kasugai,Japan,12.6,12.6,11.8,10.2,10.5,9.4,9.4
Katori,Japan,8.1,8.4,8.4,7.3,7.2,7.5,7.5
Kawagoe,Japan,12.9,10.8,10.4,8.75,8.1,8.600000000000001,8.55
Kawaguchi,Japan,12.8,12.6,11.5,10.0,9.5,9.6,9.6
Kawanishi,Japan,13.6,10.2,8.7,8.5,8.1,8.3,8.3
Kawasaki,Japan,12.0,12.6,11.3,9.5,8.9,8.8,8.8
Kikuchi,Japan,15.1,13.8,13.1,12.6,11.3,11.4,11.4
Kimitsu,Japan,9.9,10.0,9.9,8.8,8.3,8.4,8.4
Kinokawa,Japan,10.5,11.5,10.3,9.9,8.9,8.7,8.6
Kirishima,Japan,15.5,15.4,12.5,12.0,10.1,11.0,11.0
Kisarazu,Japan,11.4,11.8,11.1,9.4,8.9,8.4,8.4
Kishiwada,Japan,11.1,11.6,10.8,7.6,7.6,8.4,8.3
Kiso,Japan,7.6,8.7,8.1,7.2,7.4,7.5,7.4
Kitahiroshima,Japan,11.5,10.6,10.2,9.2,8.3,8.4,8.4
Kitaibaraki,Japan,8.9,9.0,9.0,9.1,7.3,6.6,6.6
Kitajima,Japan,12.5,12.3,11.9,11.7,10.5,11.3,11.3
Kitakyushu,Japan,14.8,14.0,13.5,12.6,10.8,9.8,9.7
Kiyose,Japan,13.6,13.2,12.1,9.3,9.1,8.9,8.9
Kizugawa,Japan,13.0,12.6,11.9,10.5,8.4,8.9,8.9
Kobe,Japan,12.9,11.7,11.4,10.1,9.6,9.4,9.4
Kochi,Japan,12.8,11.2,11.2,11.0,10.5,10.5,10.4
Kodaira,Japan,11.5,12.0,10.3,8.9,8.2,8.8,8.8
Kofu,Japan,11.8,11.9,12.1,11.4,12.0,13.2,13.3
Koga,Japan,12.8,10.9,11.25,11.1,10.15,9.45,9.5
Koka,Japan,11.0,10.6,10.6,9.3,8.4,8.7,8.7
Komatsu,Japan,10.2,10.7,10.6,10.2,7.0,7.3,7.1
Konosu,Japan,13.6,15.0,11.8,10.3,9.7,9.3,9.3
Koriyama,Japan,9.6,9.9,9.7,8.0,8.4,8.3,8.2
Kosa,Japan,12.8,12.0,11.9,10.8,9.1,9.8,9.9
Koshigaya,Japan,15.2,16.8,14.3,10.2,9.3,9.1,9.1
Kudamatsu,Japan,14.0,12.9,12.6,11.4,10.7,10.0,10.0
Kuji,Japan,11.0,11.5,12.4,10.4,11.5,6.3,6.3
Kuki,Japan,14.9,16.6,15.9,15.4,9.8,9.5,9.5
Kumagaya,Japan,12.9,14.0,13.4,10.3,9.5,9.5,9.5
Kumakogen,Japan,8.3,8.4,8.2,8.1,7.3,8.2,8.2
Kumamoto,Japan,16.2,15.3,14.4,13.0,10.9,11.3,11.3
Kumano,Japan,11.6,12.6,9.6,8.7,8.2,8.3,8.3
Kumiyama,Japan,13.2,12.5,12.6,11.6,10.9,9.3,9.3
Kunigami,Japan,10.7,10.8,10.3,10.1,8.3,8.3,9.6
Kunisaki,Japan,11.4,10.1,9.8,8.9,8.6,8.7,8.7
Kunitachi,Japan,12.6,13.2,10.7,8.8,8.2,8.4,8.4
Kurashiki,Japan,15.2,14.8,13.9,12.1,10.7,10.8,10.8
Kure,Japan,14.8,13.8,12.9,11.4,11.3,11.0,11.0
Kurihara,Japan,8.0,8.4,8.3,7.0,6.8,6.3,6.3
Kusatsu,Japan,11.3,11.0,10.6,8.8,8.4,8.7,8.7
Kuwana,Japan,13.1,10.6,9.9,8.2,8.0,8.5,8.4
Kyotanabe,Japan,12.3,12.4,11.0,9.7,9.2,9.2,9.2
Kyotango,Japan,10.4,10.9,10.1,7.6,7.1,7.5,7.5
Kyoto,Japan,11.1,10.9,11.0,9.6,9.4,9.8,9.8
Machida,Japan,12.1,11.2,9.7,8.5,8.1,9.0,9.0
Maebashi,Japan,10.9,11.1,10.0,9.2,8.6,9.4,9.3
Maizuru,Japan,12.2,12.0,11.7,9.1,9.1,8.0,8.0
Marugame,Japan,13.7,13.7,12.6,10.7,9.1,9.3,9.3
Masaki,Japan,12.6,12.3,12.0,11.5,10.9,12.2,12.1
Mashiki,Japan,18.4,18.4,17.4,16.4,11.4,11.5,11.5
Masuda,Japan,12.5,11.7,10.1,9.4,8.6,8.3,8.4
Matsubara,Japan,14.2,16.5,15.0,8.0,8.4,9.4,9.4
Matsudo,Japan,13.0,13.6,14.2,12.6,9.6,8.3,8.3
Matsue,Japan,12.7,11.8,10.8,9.4,7.9,7.8,7.8
Matsumoto,Japan,9.6,9.5,9.7,8.6,8.4,8.4,8.4
Matsusaka,Japan,13.1,10.4,10.5,9.4,9.0,8.8,8.8
Matsuyama,Japan,14.5,14.3,13.7,11.8,11.6,11.0,11.0
Mihama,Japan,13.6,14.9,12.2,10.6,10.9,10.6,10.6
Mihara,Japan,13.4,13.3,12.8,11.8,10.3,10.6,10.5
Mima,Japan,12.1,12.3,11.4,11.6,9.6,10.4,10.4
Minamata,Japan,12.1,13.2,14.7,13.8,11.5,13.1,13.0
Minami,Japan,11.2,11.3,10.7,10.2,8.7,9.2,9.2
Minamiaizu,Japan,9.0,9.1,9.0,5.8,5.9,6.0,5.9
Minamiashigara,Japan,7.1,8.0,7.5,6.2,7.0,7.0,7.0
Minamisatsuma,Japan,12.9,13.3,13.2,11.8,9.2,9.5,9.5
Minamiyamashiro,Japan,11.1,10.4,10.0,8.4,8.3,8.5,8.5
Mine,Japan,11.6,11.5,10.4,8.8,8.2,7.9,7.9
Minokamo,Japan,10.7,10.9,10.7,9.0,8.8,8.8,8.7
Mitaka,Japan,14.3,14.0,11.1,9.7,8.9,8.8,8.8
Miura,Japan,8.9,9.4,8.7,7.9,8.4,8.7,8.8
Miyakonojo,Japan,16.5,15.2,14.2,14.0,11.9,12.8,12.8
Miyazaki,Japan,13.0,12.2,12.2,10.9,10.5,11.3,11.3
Miyazu,Japan,9.8,10.8,9.9,8.2,7.7,8.0,8.0
Miyoshi,Japan,11.6,11.1,10.9,10.4,9.033333333333331,9.333333333333334,9.3
Mobara,Japan,9.4,9.5,9.3,8.1,7.3,7.6,7.6
Moriguchi,Japan,10.0,10.1,9.4,8.2,8.2,8.5,8.4
Morioka,Japan,12.8,10.3,9.9,8.0,8.0,8.3,8.3
Moriyama,Japan,11.9,11.5,11.6,9.0,8.8,8.7,8.7
Muko,Japan,11.7,11.6,11.0,9.7,9.4,9.7,9.7
Munakata,Japan,12.9,12.3,12.6,11.0,11.4,11.8,11.8
Murayama,Japan,8.1,8.6,8.3,8.3,8.2,7.1,7.1
Musashino,Japan,12.6,12.7,11.0,9.8,8.5,8.4,8.4
Nabari,Japan,12.4,13.8,11.7,10.2,9.6,9.6,9.6
Nagahama,Japan,11.2,11.2,10.8,8.7,8.4,8.6,8.6
Nagai,Japan,8.5,8.8,8.2,7.9,8.0,7.4,7.5
Nagakute,Japan,10.5,11.3,10.8,9.0,8.3,8.0,8.0
Nagano,Japan,10.5,9.0,8.3,7.7,7.5,7.25,7.2
Nagareyama,Japan,11.8,12.2,11.4,9.9,8.8,8.9,8.9
Nagasaki,Japan,13.0,12.3,11.8,11.2,10.1,9.4,9.5
Nagato,Japan,11.8,11.4,10.8,9.6,8.5,9.1,9.2
Nago,Japan,8.8,9.6,8.9,8.2,7.5,8.6,8.6
Nagoya,Japan,12.2,12.1,11.7,9.4,9.2,9.3,9.3
Naka,Japan,11.6,11.7,10.3,9.6,9.7,8.9,8.8
Nakatsu,Japan,15.5,14.9,14.0,12.7,11.9,12.6,12.6
Nanao,Japan,10.7,11.2,11.2,7.6,7.2,7.6,7.3
Nantan,Japan,11.8,11.6,11.1,9.6,8.9,9.0,9.0
Nanto,Japan,10.0,11.0,9.9,8.1,7.7,7.9,7.8
Nara,Japan,11.2,11.5,11.2,10.3,9.1,11.1,11.1
Naraha,Japan,10.0,10.7,10.3,7.8,8.3,8.5,8.5
Narita,Japan,11.7,12.1,11.3,8.8,7.8,8.0,8.0
Naruto,Japan,13.1,13.0,11.8,11.3,10.7,10.7,10.7
Nasukarasuyama,Japan,9.5,9.3,9.5,9.2,8.4,8.8,8.5
Nasushiobara,Japan,8.6,8.5,8.3,7.2,6.3,6.7,6.5
Natori,Japan,11.2,11.1,11.6,10.1,9.2,8.0,8.0
Nichinan,Japan,13.3,12.4,12.2,12.3,10.2,10.6,10.6
Niigata,Japan,8.5,9.1,8.6,7.1,6.9,7.0,7.0
Niihama,Japan,14.7,14.8,13.9,13.2,12.3,13.0,12.9
Niimi,Japan,9.1,9.3,8.6,7.2,7.0,7.6,7.6
Nikko,Japan,7.4,9.5,8.8,8.5,7.9,8.4,8.1
Nishinomiya,Japan,12.2,11.3,10.7,9.9,9.0,8.7,8.7
Nishio,Japan,11.7,11.5,10.7,9.5,8.5,7.9,8.0
Nishitokyo,Japan,13.2,13.6,11.5,9.9,8.4,8.3,8.3
Nishiwaki,Japan,11.3,11.5,11.0,9.5,8.0,7.9,7.9
Nobeoka,Japan,14.0,11.5,9.8,10.7,9.3,10.2,10.2
Noda,Japan,14.9,13.8,11.6,9.9,9.1,9.1,9.2
Nogata,Japan,14.2,13.4,13.2,12.2,10.8,11.4,11.4
Nonoichi,Japan,11.3,10.8,10.6,9.7,10.4,7.9,7.7
Numata,Japan,12.6,13.1,11.8,10.8,7.9,8.2,8.1
Nyuzen,Japan,10.3,10.4,9.9,8.9,8.9,8.6,8.6
Obama,Japan,11.7,12.1,11.4,9.3,7.1,7.2,7.2
Obu,Japan,11.2,11.6,11.4,9.1,9.0,8.7,8.6
Odate,Japan,9.2,9.8,9.7,7.3,7.4,7.2,7.1
Odawara,Japan,10.3,11.8,12.7,10.1,10.5,10.3,10.3
Oga,Japan,9.4,9.6,9.5,7.8,7.4,7.7,7.7
Ogaki,Japan,11.2,11.9,11.5,10.0,9.6,9.5,9.5
Oita,Japan,14.1,12.4,12.6,12.0,10.4,11.1,11.0
Oji,Japan,11.7,10.9,9.4,8.7,7.6,8.3,8.3
Okayama,Japan,14.3,13.9,13.2,11.6,10.2,10.7,10.7
Okazaki,Japan,11.6,12.0,11.2,9.0,9.1,9.1,9.1
Ome,Japan,10.2,10.3,9.1,8.5,9.2,9.8,9.8
Omihachiman,Japan,12.4,12.4,11.6,9.4,9.2,9.4,9.3
Omuta,Japan,15.9,15.3,15.6,13.8,12.8,11.9,11.9
Ono,Japan,11.9,11.05,11.6,9.75,8.2,8.25,8.2
Osaka,Japan,14.9,13.8,13.5,10.7,10.0,10.2,10.2
Oshu,Japan,10.5,10.9,10.8,9.3,9.4,10.8,10.8
Ota,Japan,14.8,14.3,13.0,9.8,8.8,9.0,9.0
Otake,Japan,13.3,12.7,11.6,10.9,10.7,10.3,10.2
Otaru,Japan,8.3,8.7,9.2,5.9,6.6,7.0,7.0
Otsu,Japan,10.4,10.1,9.6,8.6,8.3,8.2,8.2
