city,country,2017,2018,2019,2020,2021,2022,2023
Dingxi,China,39.2,40.3,27.4,25.7,25.8,29.8,29.8
Diqingzhou,China,11.4,11.4,12.0,13.5,15.3,13.1,13.0
Dongguan,China,35.9,34.9,31.5,23.7,22.6,20.0,19.9
Dongying,China,57.9,47.4,48.6,45.7,38.4,33.1,33.2
Enshi,China,44.0,36.1,31.3,27.5,25.8,26.4,26.5
Ezhou,China,56.4,44.9,42.5,37.8,37.4,34.3,34.3
Fangchenggang,China,29.1,28.6,26.9,22.1,23.9,20.9,20.8
Foshan,China,38.1,33.1,29.4,22.2,23.6,21.5,21.4
Fushun,China,47.2,41.2,43.0,43.3,39.7,33.5,33.6
Fuxin,China,39.7,36.2,36.3,35.1,32.5,27.6,27.6
Fuyang,China,66.9,54.4,51.9,40.55,35.95,33.3,33.4
Fuzhou,China,36.75,29.7,28.0,23.3,21.75,18.450000000000003,18.4
Gannan,China,35.7,30.3,22.5,19.5,15.9,20.0,20.0
Ganzhou,China,46.6,37.7,28.4,25.2,22.2,18.9,18.8
Ganzizhou,China,15.6,17.9,11.5,8.7,7.7,8.4,8.4
Golog,China,27.1,21.2,19.1,13.8,14.5,15.7,15.7
Guangyuan,China,21.7,26.1,27.3,24.8,23.4,23.4,23.4
Guangzhou,China,33.9,33.2,28.9,22.6,24.4,21.3,21.3
Guigang,China,41.1,38.7,33.9,28.5,29.9,27.0,26.9
Guilin,China,42.2,36.4,32.9,28.3,28.6,26.2,26.2
Guiyang,China,31.5,30.3,26.5,22.8,23.8,21.0,21.0
Guyuan,China,32.7,33.4,25.7,24.9,25.2,26.4,26.4
Haibei,China,28.0,25.1,19.4,18.9,20.0,19.5,19.6
Haikou,China,19.5,17.1,16.3,14.1,18.8,17.25,17.3
Hainan,China,26.6,24.3,20.4,20.3,20.3,19.5,19.5
Haixi,China,24.3,22.4,15.5,14.6,17.7,19.2,19.2
Handan,China,96.7,74.0,64.3,58.9,45.6,46.5,46.4
Hangzhou,China,43.6,38.1,37.4,29.0,27.4,29.0,29.1
Hanzhong,China,50.0,45.1,39.2,28.7,28.1,27.5,27.6
Harbin,China,54.2,36.4,39.1,43.6,33.7,33.9,34.2
Hebi,China,64.4,55.8,62.1,58.9,51.4,52.2,52.2
Hechi,China,33.0,28.9,26.3,24.2,25.0,22.6,22.6
Hefei,China,54.7,47.2,43.8,36.0,32.6,32.4,32.4
Hegang,China,30.0,23.2,21.5,22.0,21.3,17.3,17.4
Heihe,China,21.3,18.0,14.8,16.4,14.6,13.4,13.3
Hengshui,China,93.3,65.7,56.0,52.4,42.6,40.1,40.1
Hengyang,China,47.8,41.3,42.1,35.3,35.9,31.5,31.6
Heyuan,China,31.2,29.2,24.5,21.7,20.8,17.4,17.3
Heze,China,70.0,60.1,59.7,54.2,48.5,47.2,47.2
Hezhou,China,42.1,36.9,30.7,27.6,26.4,25.7,25.6
Hinggan,China,18.0,19.6,24.1,23.3,21.4,23.4,23.4
